epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.8497,1.73592,2.11419,0.94364,0.94349,0.21084,0.22352,0.1183,1.44864,1.27183,0.89534,0.000414878,0.000414878,0.000414878
2,99.5751,1.55353,1.25359,0.90279,0.68972,0.2618,0.24371,0.13825,1.37195,1.122,0.87522,0.000776663,0.000776663,0.000776663
3,145.64,1.48499,1.16476,0.8914,0.70957,0.28716,0.26313,0.14732,1.38823,1.09073,0.87974,0.00108345,0.00108345,0.00108345
4,190.354,1.53308,1.12402,0.88375,0.78675,0.28941,0.30828,0.18019,1.33628,1.03968,0.86592,0.0010025,0.0010025,0.0010025
5,236.464,1.45638,1.07701,0.88065,0.71114,0.33009,0.35339,0.21251,1.25501,0.95098,0.85829,0.00092,0.00092,0.00092
6,287.268,1.37717,0.99706,0.87445,0.65008,0.38295,0.38448,0.2214,1.30678,0.948,0.85544,0.0008375,0.0008375,0.0008375
7,336.396,1.35547,0.94458,0.86245,0.67265,0.48448,0.4732,0.27562,1.26449,0.8868,0.84969,0.000755,0.000755,0.000755
8,383.478,1.33717,0.89316,0.86852,0.69209,0.52789,0.53267,0.30862,1.22242,0.84518,0.85427,0.0006725,0.0006725,0.0006725
9,429.891,1.29994,0.85497,0.86074,0.79558,0.51104,0.57323,0.32157,1.23454,0.81241,0.8468,0.00059,0.00059,0.00059
10,472.943,1.26141,0.82199,0.85428,0.79102,0.55812,0.59504,0.3508,1.19648,0.78525,0.84626,0.0005075,0.0005075,0.0005075
11,518.931,1.25545,0.80357,0.84875,0.80984,0.55932,0.6046,0.35826,1.17912,0.75851,0.8429,0.000425,0.000425,0.000425
12,566.741,1.22815,0.77393,0.85139,0.8152,0.55469,0.60895,0.36707,1.16276,0.74945,0.84247,0.0003425,0.0003425,0.0003425
13,614.151,1.21226,0.75685,0.84931,0.81516,0.57454,0.626,0.3691,1.13903,0.73451,0.84142,0.00026,0.00026,0.00026
14,658.909,1.21007,0.7509,0.84499,0.8202,0.59716,0.63667,0.37667,1.12765,0.71737,0.83719,0.0001775,0.0001775,0.0001775
15,702.419,1.22715,0.75748,0.84227,0.82222,0.59323,0.63812,0.37931,1.13215,0.71058,0.83809,9.5e-05,9.5e-05,9.5e-05
